"subjId";"day";"clo";"time";"nobs";"sex";"tOut";"tInOp"
"1";11;1;0;6.73333333333333;5;"female";20.48765;25.44297261
"2";17;1;0;6.68333333333333;5;"female";16.5572972233333;23.162852
"3";19;1;1;6.80000000000001;5;"female";14.5410888895;24.5561743816667
"4";29;1;0;6.63333333333332;5;"female";20.2196861116667;27.0176256766667
"5";35;1;0;6.79999999999999;5;"male";25.2511722216667;28.6137372416667
"6";43;1;2;6.78333333333333;4;"female";25.229433332;27.073805934
"7";47;1;0;6.38333333333332;5;"female";21.254233335;29.2649924216667
"8";49;1;0;6.76666666666667;5;"male";19.6119944433333;25.7956691216667
"9";51;1;0;6.75000000000001;5;"female";17.238925;26.3380324883333
"10";55;1;2;6.75;5;"female";31.4541833333333;29.21536426
"11";57;1;0;6.68333333333333;5;"female";20.383480555;28.1212382516667
"12";59;1;0;6.68333333333334;5;"male";18.8527722233333;26.025785555
"13";61;1;0;6.61666666666667;5;"male";23.1378083333333;25.1817427033333
"14";63;1;0;6.7;5;"female";20.21751111;27.0305521283333
"15";65;1;1;6.01666666666666;5;"female";17.175544445;24.5291135933333
"16";69;1;0;6.68333333333334;5;"male";19.7751083333333;28.1189792716667
"17";71;1;0;6.7;5;"female";20.046330555;27.7998647666667
"18";75;1;0;6.66666666666667;5;"male";24.4222744916667;26.47089752
"19";85;1;0;6.73333333333332;5;"male";20.2398916666667;28.09004486
"20";87;1;0;6.53333333333334;5;"male";20.0026;26.0107184616667
"21";89;1;0;6.65000000000001;5;"female";22.9866916666667;27.353261125
"22";91;1;0;6.58333333333334;5;"male";20.2794888883333;27.1573495916667
"23";93;1;0;6.73333333333333;5;"male";20.031575;25.85451818
"24";99;1;0;6.65;5;"male";18.8047361116667;26.0695408883333
"25";105;1;0;6.63333333333334;5;"male";20.5197555566667;27.0793244683333
"26";107;1;0;6.71666666666667;4;"male";11.9280866666;24.723885714
"27";111;1;1;6.71666666666668;5;"female";22.2855972216667;25.719604865
"28";113;1;0;6.75000000000001;5;"female";22.958;27.0363307766667
"29";119;1;0;6.31666666666667;5;"male";21.297805555;28.6643651433333
"30";123;1;0;6.7;5;"female";18.2049777783333;25.607319435
"31";125;1;1;6.74999999999999;5;"female";17.7996277783333;25.3901100333333
"32";127;1;0;6.66666666666668;5;"male";20.2331777783333;27.1156409716667
"33";129;1;0;6.7;5;"male";20.3243611116667;28.159657545
"34";137;1;0;6.61666666666666;5;"male";24.6854222216667;25.50694242
"35";141;1;0;6.48333333333334;5;"female";19.667858335;28.0100900383333
"36";145;1;1;6.66666666666666;4;"male";22.39022;27.314888254
"37";149;1;1;6.68333333333333;5;"female";18.1808083333333;26.9966976233333
"38";153;1;0;6.6;5;"male";25.6126916666667;27.4262434666667
"39";157;1;2;6.63333333333333;5;"female";20.6951188883333;27.097968955
"40";167;1;2;6.64999999999999;5;"female";17.39734936;27.1349831816667
"41";171;1;0;6.66666666666667;5;"male";25.6656194433333;27.058499195
"42";173;1;1;6.53333333333333;5;"female";19.6846527766667;28.0188834783333
"43";183;1;0;6.68333333333334;5;"male";29.10895;26.9580956716667
"44";187;1;2;6.76666666666667;5;"male";17.2463888883333;26.3394321116667
"45";189;1;0;6.68333333333334;5;"male";24.2543638883333;26.7944539933333
"46";193;1;2;6.58333333333334;5;"female";19.2051499983333;26.9753605716667
"47";199;1;1;6.45000000000001;5;"female";26.1843833333333;28.7036115133333
"48";11;2;0;6.6;5;"female";17.7126666683333;26.0005987166667
"49";17;2;2;6.56666666666667;5;"female";17.8449;24.8433870266667
"50";19;2;2;6.73333333333333;5;"female";16.19005;26.1539980316667
"51";29;2;0;6.58333333333333;5;"female";24.2929527766667;26.9207322816667
"52";35;2;0;6.73333333333334;5;"male";19.5215055566667;27.3001114216667
"53";43;2;2;6.73333333333334;5;"female";31.4762666683333;29.2446256833333
"54";47;2;1;6.78333333333334;5;"female";24.3228416666667;28.1343608016667
"55";49;2;0;6.8;5;"male";18.632305555;25.6915838416667
"56";51;2;1;6.68333333333334;5;"female";18.9067666666667;26.7471164483333
"57";55;2;0;6.8;5;"female";29.021355555;29.5165350266667
"58";57;2;2;6.60000000000001;5;"female";15.6990638883333;25.9271503016667
"59";59;2;0;5.36666666666667;4;"male";25.4819;26.20384731
"60";61;2;0;6.23333333333333;5;"male";21.5928777766667;26.7866078733333
"61";63;2;3;6.65;5;"female";24.2566361116667;26.891607565
"62";65;2;0;6.86666666666666;5;"female";15.6401666666667;26.6487995133333
"63";69;2;1;6.76666666666667;5;"male";23.4729166666667;28.6448338366667
"64";71;2;0;6.61666666666667;5;"female";26.1356611116667;28.5886222833333
"65";75;2;0;5.45;4;"male";23.604356666;26.313288608
"66";85;2;0;6.76666666666667;5;"male";13.8612111116667;27.4281182883333
"67";87;2;0;6.73333333333333;4;"male";23.57976;25.85788745
"68";89;2;0;6.66666666666667;5;"female";21.9573222216667;26.6832382133333
"69";91;2;0;6.78333333333333;5;"male";22.8949583333333;26.9964352483333
"70";93;2;0;6.78333333333334;5;"male";17.162275;26.657232455
"71";99;2;0;6.76666666666666;5;"male";22.2211722216667;27.026314785
"72";105;2;0;6.7;5;"male";17.2534833333333;26.5955523066667
"73";107;2;0;2.9;2;"male";14.1003611133333;23.4070860733333
"74";111;2;1;6.73333333333333;5;"female";17.819583335;26.3689285366667
"75";113;2;2;6.51666666666666;5;"female";22.3472;26.418203235
"76";119;2;0;6.69999999999999;5;"male";24.384866665;28.0508201966667
"77";123;2;0;6.81666666666667;5;"female";19.721169445;26.6476584416667
"78";125;2;2;6.73333333333333;5;"female";17.812883335;26.0650825233333
"79";127;2;0;6.78333333333333;5;"male";22.8497694433333;27.2591746216667
"80";129;2;0;6.66666666666667;5;"male";13.8497333333333;27.4732802533333
"81";137;2;2;6.73333333333333;5;"male";27.006533335;24.5641437433333
"82";141;2;2;6.86666666666667;5;"female";23.5252277783333;28.6923333083333
"83";145;2;1;6.73333333333334;5;"male";22.8525777783333;24.5611889516667
"84";149;2;0;6.75000000000001;5;"female";19.6176611116667;25.8691435733333
"85";153;2;0;6.63333333333332;5;"male";19.440094445;27.3313639733333
"86";157;2;0;6.69999999999999;5;"female";17.23935;26.5987920366667
"87";167;2;0;6.68333333333332;5;"female";29.75765;27.2350027066667
"88";171;2;2;6.66666666666667;5;"male";18.8274861116667;24.454828865
"89";173;2;1;6.73333333333334;5;"female";23.4702333333333;28.70923633
"90";183;2;0;6.6;5;"male";28.03813611;29.5263045966667
"91";187;2;2;6.64999999999999;5;"male";18.9407833333333;26.7470361316667
"92";189;2;1;6.71666666666667;5;"male";22.3441916666667;26.3853442766667
"93";193;2;2;6.78333333333334;5;"female";23.1219638883333;26.46264693
"94";199;2;0;7.15;5;"female";26.950119445;27.3055728333333
"95";11;3;0;6.68333333333334;5;"female";19.2781999983333;25.5657670166667
"96";17;3;0;6.83333333333333;5;"female";26.161916665;26.8237018383333
"97";19;3;2;6.56666666666667;5;"female";18.35086111;25.0093080533333
"98";29;3;0;6.75000000000001;5;"female";24.0183166683333;26.37070072
"99";35;3;0;6.63333333333333;5;"male";23.57526389;27.5752713066667
"100";43;3;1;6.8;5;"female";29.0966472233333;29.5539744883333
"101";47;3;0;6.83333333333334;5;"female";27.4464888883333;28.1362729566667
"102";51;3;1;6.73333333333332;5;"female";22.8415916666667;27.13767096
"103";55;3;0;6.78333333333334;5;"female";28.05423611;29.5026436833333
"104";57;3;2;6.78333333333334;5;"female";13.8529333333333;25.5714953816667
"105";59;3;1;6.76666666666667;5;"male";27.1048722216667;25.81873945
"106";61;3;0;6.78333333333334;5;"male";29.70515;25.0384786666667
"107";63;3;2;6.71666666666667;5;"female";24.0307916666667;27.2816069716667
"108";65;3;0;7.01666666666666;5;"female";13.437575;24.854984555
"109";69;3;1;6.71666666666667;5;"male";27.7466166666667;28.5112033633333
"110";85;3;0;6.71666666666666;5;"male";15.91396111;26.1382217983333
"111";87;3;2;6.75000000000001;5;"male";18.3662333333333;25.60181913
"112";89;3;0;6.98333333333334;5;"female";20.0278083333333;27.1630838833333
"113";91;3;0;6.74999999999999;5;"male";24.154719445;27.251636465
"114";93;3;0;6.65000000000001;5;"male";24.1890388883333;26.42395666
"115";99;3;0;6.76666666666667;5;"male";23.1795611116667;25.930044235
"116";105;3;0;6.73333333333334;5;"male";18.900525;27.0395069266667
"117";107;3;0;6.76666666666666;5;"male";16.8139722216667;23.1129581266667
"118";111;3;1;6.65;5;"female";16.266069445;25.6068715666667
"119";113;3;1;6.76666666666666;5;"female";17.7948;27.25904927
"120";119;3;0;7.00000000000001;5;"male";24.0999472233333;27.3732638216667
"121";123;3;0;6.71666666666666;5;"female";18.2671416666667;26.1525582633333
"122";125;3;1;6.73333333333334;5;"female";16.2509583333333;26.312058595
"123";127;3;0;6.83333333333334;5;"male";24.1038416666667;27.2734032716667
"124";129;3;0;6.70000000000001;5;"male";22.6931277783333;27.630723475
"125";141;3;4;6.73333333333333;5;"female";25.7843388883333;29.1319925633333
"126";149;3;1;6.7;5;"female";18.1569083316667;25.3520931433333
"127";153;3;0;6.68333333333334;5;"male";23.493275;27.5685874866667
"128";157;3;2;6.76666666666667;5;"female";18.9039916666667;27.5192017416667
"129";167;3;0;6.76666666666667;5;"female";33.0813027783333;27.4351051866667
"130";171;3;0;6.71666666666666;5;"male";20.7672916666667;25.4847700433333
"131";173;3;2;6.93333333333333;5;"female";25.8186222216667;27.61210376
"132";183;3;0;6.53333333333334;5;"male";26.294225;28.8377573516667
"133";187;3;2;6.69999999999999;5;"male";22.8438277783333;26.7488382283333
"134";199;3;0;6.66666666666667;5;"female";24.5701555533333;26.84717959
"135";35;4;1;6.91666666666667;5;"male";18.6409333333333;28.01322642
"136";107;4;0;1.53333333333333;1;"male";24.989666665;27.887417255
